Name,Team,Nationalaty,Position,age,Matches Played,Matches Starts,Minutes / Div By 90,Goals,Asissts,Yellows,Reds,Total Shots,Passes Attemted,Passes Total Distance,Short Passes,Medium Passes,Long Passes,Cross Passes,Head Pases,Tackeled,Tackeled Dribbels,Pressure Applying,Blocks,Shots Blocks,Clearence,Touches,Touches Defencive Penalty Area,Touches Defencive 3RD,Touches Mid 3RD,Touches Attacking 3RD,Touches Attacking Penalty Area,Touches Live Game,Dribbels Succes,Dribbels Attempted,Carries,Carries To Distance,Carries Proggresive,Carries Proggresive Foword,Carries Tackeled,Reciving Passes,Fouls Commited,Fouls Drawn,Tackele Won,looseBallRecovered,Aerial Duals Won,Aerial Duals Lost
Aaron Connolly,Brighton,ie IRL,FW,21-331,6,3,3.6,2.0,0.0,0.0,0.0,7.0,18.0,212.0,11.0,7.0,0.0,3.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,34.0,0.0,0.0,14.0,21.0,4.0,33.0,0.0,1.0,22.0,131.0,40.0,3.0,1.0,64.0,1.0,9.0,1.0,7.0,0.0,7.0
Aaron Cresswell,West Ham,eng ENG,DF,32-010,18,18,17.7,1.0,3.0,0.0,0.0,10.0,1192.0,17607.0,456.0,472.0,224.0,43.0,21.0,19.0,7.0,104.0,22.0,8.0,38.0,1321.0,61.0,348.0,636.0,426.0,14.0,1102.0,1.0,8.0,803.0,3844.0,2001.0,80.0,7.0,882.0,7.0,6.0,11.0,140.0,23.0,11.0
Aaron Lennon,Burnley,eng ENG,MF,34-253,9,3,3.1,0.0,0.0,1.0,0.0,4.0,29.0,312.0,14.0,8.0,4.0,10.0,0.0,3.0,1.0,33.0,4.0,1.0,1.0,47.0,1.0,9.0,18.0,22.0,3.0,47.0,1.0,3.0,27.0,143.0,84.0,4.0,1.0,40.0,4.0,4.0,4.0,8.0,0.0,3.0
Aaron Ramsdale,Arsenal,eng ENG,GK,23-225,16,16,16.0,0.0,0.0,1.0,0.0,0.0,532.0,10677.0,90.0,157.0,283.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,574.0,484.0,573.0,2.0,0.0,0.0,443.0,1.0,1.0,301.0,1552.0,885.0,0.0,0.0,273.0,0.0,4.0,0.0,80.0,0.0,0.0
Aaron Ramsey,Aston Villa,eng ENG,MF,18-338,1,0,0.3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,Manchester Utd,eng ENG,DF,24-029,18,18,17.4,0.0,0.0,2.0,1.0,3.0,1014.0,13120.0,541.0,342.0,88.0,23.0,17.0,39.0,5.0,183.0,45.0,12.0,40.0,1215.0,68.0,422.0,579.0,309.0,18.0,1077.0,32.0,48.0,800.0,4082.0,2545.0,94.0,18.0,834.0,14.0,16.0,24.0,132.0,13.0,21.0
Abdoulaye Doucouré,Everton,fr FRA,MF,28-358,14,13,13.4,2.0,4.0,4.0,0.0,21.0,516.0,7261.0,221.0,197.0,61.0,2.0,28.0,24.0,12.0,284.0,17.0,1.0,17.0,640.0,32.0,172.0,337.0,170.0,26.0,635.0,12.0,22.0,408.0,2127.0,1197.0,43.0,7.0,433.0,24.0,13.0,13.0,170.0,17.0,21.0
Adam Armstrong,Southampton,eng ENG,"FW,MF",24-318,16,14,13.4,2.0,2.0,0.0,0.0,45.0,227.0,2690.0,93.0,97.0,21.0,19.0,10.0,8.0,0.0,166.0,6.0,1.0,3.0,356.0,2.0,27.0,144.0,213.0,61.0,332.0,14.0,28.0,251.0,1463.0,847.0,54.0,20.0,484.0,12.0,8.0,6.0,46.0,8.0,28.0
Adam Forshaw,Leeds United,eng ENG,MF,30-078,13,10,10.1,0.0,0.0,2.0,0.0,8.0,357.0,5746.0,150.0,126.0,61.0,5.0,12.0,23.0,11.0,180.0,7.0,1.0,11.0,440.0,14.0,137.0,249.0,87.0,4.0,430.0,3.0,9.0,292.0,1359.0,523.0,19.0,10.0,323.0,21.0,12.0,11.0,84.0,5.0,9.0
Adam Idah,Norwich City,ie IRL,FW,20-289,13,2,3.1,0.0,0.0,0.0,0.0,9.0,53.0,706.0,24.0,18.0,6.0,4.0,1.0,6.0,1.0,32.0,1.0,1.0,2.0,83.0,4.0,8.0,29.0,52.0,11.0,81.0,2.0,3.0,59.0,323.0,104.0,8.0,8.0,116.0,3.0,4.0,3.0,10.0,6.0,8.0
