Name,Team,Nationalaty,Position,Matches Played,Matches Starts,Minutes / Div By 90,Goals,Asissts,Yellows,Reds,Total Shots,Passes Attemted,Passes Total Distance,Short Passes,Medium Passes,Long Passes,Cross Passes,Head Pases,Tackeled,Tackeled Dribbels,Pressure Applying,Blocks,Shots Blocks,Clearence,Touches,Touches Defencive Penalty Area,Touches Defencive 3RD,Touches Mid 3RD,Touches Attacking 3RD,Touches Attacking Penalty Area,Touches Live Game,Dribbels Succes,Dribbels Attempted,Carries,Carries To Distance,Carries Proggresive,Carries Proggresive Foword,Carries Tackeled,Reciving Passes,Fouls Commited,Fouls Drawn,Tackele Won,looseBallRecovered,Aerial Duals Won,Aerial Duals Lost
Aaron Connolly,Brighton,ie IRL,FW,17,9,8.8,2.0,1.0,0.0,0.0,23.0,101.0,1147.0,56.0,30.0,5.0,2.0,5.0,7.0,1.0,124.0,9.0,1.0,1.0,201.0,1.0,14.0,84.0,116.0,38.0,191.0,8.0,10.0,124.0,655.0,387.0,17.0,15.0,357.0,7.0,16.0,5.0,28.0,11.0,30.0
Aaron Cresswell,West Ham,eng ENG,DF,39,38,37.8,0.0,8.0,3.0,0.0,19.0,2061.0,30884.0,736.0,736.0,518.0,105.0,49.0,31.0,14.0,230.0,48.0,14.0,98.0,2307.0,182.0,767.0,1053.0,594.0,18.0,1861.0,6.0,15.0,1266.0,5387.0,2617.0,97.0,9.0,1366.0,19.0,19.0,16.0,307.0,38.0,30.0
Aaron Pressley,Brentford,sct SCO,MF,3,0,0.4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,Manchester Utd,eng ENG,DF,54,54,52.2,2.0,6.0,5.0,0.0,10.0,2777.0,36451.0,1436.0,1052.0,183.0,82.0,66.0,134.0,29.0,611.0,153.0,22.0,145.0,3389.0,181.0,1109.0,1523.0,967.0,52.0,2995.0,57.0,87.0,2061.0,10392.0,5751.0,259.0,36.0,2165.0,46.0,29.0,82.0,372.0,54.0,47.0
Abdoulaye Doucouré,Everton,fr FRA,MF,34,32,31.4,3.0,3.0,6.0,0.0,21.0,1333.0,20026.0,588.0,534.0,147.0,10.0,60.0,56.0,17.0,544.0,43.0,9.0,29.0,1579.0,62.0,463.0,880.0,348.0,39.0,1566.0,17.0,28.0,968.0,4877.0,2436.0,81.0,30.0,1203.0,37.0,16.0,49.0,304.0,37.0,26.0
Achraf Lazaar,Watford,ma MAR,DF,5,2,2.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,8.0,0.0,0.0,0.0
Adalberto Peñaranda,Watford,ve VEN,"FW,MF",1,0,0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
Adam Idah,Norwich City,ie IRL,MF,17,1,3.8,3.0,1.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0
Adam Lallana,Brighton,eng ENG,"MF,FW",31,17,18.6,1.0,1.0,0.0,0.0,24.0,936.0,12397.0,460.0,339.0,83.0,17.0,32.0,32.0,10.0,339.0,26.0,3.0,14.0,1106.0,33.0,240.0,556.0,382.0,70.0,1086.0,15.0,24.0,780.0,3552.0,1916.0,81.0,17.0,964.0,23.0,28.0,27.0,158.0,13.0,32.0
Adam Masina,Watford,ma MAR,DF,26,22,22.0,2.0,0.0,4.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,14.0,25.0,0.0,0.0,0.0
