Name,Team,Nationalaty,Position,age,Matches Played_x,Matches Starts_x,Minutes / Div By 90_x,Goals_x,Asissts_x,Yellows_x,Reds_x,Total Shots_x,Passes Attemted_x,Passes Total Distance_x,Short Passes_x,Medium Passes_x,Long Passes_x,Cross Passes_x,Head Pases_x,Tackeled_x,Tackeled Dribbels_x,Pressure Applying_x,Blocks_x,Shots Blocks_x,Clearence_x,Touches_x,Touches Defencive Penalty Area_x,Touches Defencive 3RD_x,Touches Mid 3RD_x,Touches Attacking 3RD_x,Touches Attacking Penalty Area_x,Touches Live Game_x,Dribbels Succes_x,Dribbels Attempted_x,Carries_x,Carries To Distance_x,Carries Proggresive_x,Carries Proggresive Foword_x,Carries Tackeled_x,Reciving Passes_x,Fouls Commited_x,Fouls Drawn_x,Tackele Won_x,looseBallRecovered_x,Aerial Duals Won_x,Aerial Duals Lost_x,Matches Played_y,Matches Starts_y,Minutes / Div By 90_y,Goals_y,Asissts_y,Yellows_y,Reds_y,Total Shots_y,Passes Attemted_y,Passes Total Distance_y,Short Passes_y,Medium Passes_y,Long Passes_y,Cross Passes_y,Head Pases_y,Tackeled_y,Tackeled Dribbels_y,Pressure Applying_y,Blocks_y,Shots Blocks_y,Clearence_y,Touches_y,Touches Defencive Penalty Area_y,Touches Defencive 3RD_y,Touches Mid 3RD_y,Touches Attacking 3RD_y,Touches Attacking Penalty Area_y,Touches Live Game_y,Dribbels Succes_y,Dribbels Attempted_y,Carries_y,Carries To Distance_y,Carries Proggresive_y,Carries Proggresive Foword_y,Carries Tackeled_y,Reciving Passes_y,Fouls Commited_y,Fouls Drawn_y,Tackele Won_y,looseBallRecovered_y,Aerial Duals Won_y,Aerial Duals Lost_y
Aaron Connolly,3,30,3,21,6,3,3.6,2.0,0.0,0.0,0.0,7.0,18.0,212.0,11.0,7.0,0.0,3.0,0.0,0.0,0.0,27.0,2.0,0.0,0.0,34.0,0.0,0.0,14.0,21.0,4.0,33.0,0.0,1.0,22.0,131.0,40.0,3.0,1.0,64.0,1.0,9.0,1.0,7.0,0.0,7.0,17.0,9.0,8.8,2.0,1.0,0.0,0.0,23.0,101.0,1147.0,56.0,30.0,5.0,2.0,5.0,7.0,1.0,124.0,9.0,1.0,1.0,201.0,1.0,14.0,84.0,116.0,38.0,191.0,8.0,10.0,124.0,655.0,387.0,17.0,15.0,357.0,7.0,16.0,5.0,28.0,11.0,30.0
Aaron Cresswell,18,20,0,32,18,18,17.7,1.0,3.0,0.0,0.0,10.0,1192.0,17607.0,456.0,472.0,224.0,43.0,21.0,19.0,7.0,104.0,22.0,8.0,38.0,1321.0,61.0,348.0,636.0,426.0,14.0,1102.0,1.0,8.0,803.0,3844.0,2001.0,80.0,7.0,882.0,7.0,6.0,11.0,140.0,23.0,11.0,39.0,38.0,37.8,0.0,8.0,3.0,0.0,19.0,2061.0,30884.0,736.0,736.0,518.0,105.0,49.0,31.0,14.0,230.0,48.0,14.0,98.0,2307.0,182.0,767.0,1053.0,594.0,18.0,1861.0,6.0,15.0,1266.0,5387.0,2617.0,97.0,9.0,1366.0,19.0,19.0,16.0,307.0,38.0,30.0
Aaron Lennon,4,20,7,34,9,3,3.1,0.0,0.0,1.0,0.0,4.0,29.0,312.0,14.0,8.0,4.0,10.0,0.0,3.0,1.0,33.0,4.0,1.0,1.0,47.0,1.0,9.0,18.0,22.0,3.0,47.0,1.0,3.0,27.0,143.0,84.0,4.0,1.0,40.0,4.0,4.0,4.0,8.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Ramsdale,0,20,6,23,16,16,16.0,0.0,0.0,1.0,0.0,0.0,532.0,10677.0,90.0,157.0,283.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,574.0,484.0,573.0,2.0,0.0,0.0,443.0,1.0,1.0,301.0,1552.0,885.0,0.0,0.0,273.0,0.0,4.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Wan-Bissaka,12,20,0,24,18,18,17.4,0.0,0.0,2.0,1.0,3.0,1014.0,13120.0,541.0,342.0,88.0,23.0,17.0,39.0,5.0,183.0,45.0,12.0,40.0,1215.0,68.0,422.0,579.0,309.0,18.0,1077.0,32.0,48.0,800.0,4082.0,2545.0,94.0,18.0,834.0,14.0,16.0,24.0,132.0,13.0,21.0,54.0,54.0,52.2,2.0,6.0,5.0,0.0,10.0,2777.0,36451.0,1436.0,1052.0,183.0,82.0,66.0,134.0,29.0,611.0,153.0,22.0,145.0,3389.0,181.0,1109.0,1523.0,967.0,52.0,2995.0,57.0,87.0,2061.0,10392.0,5751.0,259.0,36.0,2165.0,46.0,29.0,82.0,372.0,54.0,47.0
Abdoulaye Doucouré,7,23,7,28,14,13,13.4,2.0,4.0,4.0,0.0,21.0,516.0,7261.0,221.0,197.0,61.0,2.0,28.0,24.0,12.0,284.0,17.0,1.0,17.0,640.0,32.0,172.0,337.0,170.0,26.0,635.0,12.0,22.0,408.0,2127.0,1197.0,43.0,7.0,433.0,24.0,13.0,13.0,170.0,17.0,21.0,34.0,32.0,31.4,3.0,3.0,6.0,0.0,21.0,1333.0,20026.0,588.0,534.0,147.0,10.0,60.0,56.0,17.0,544.0,43.0,9.0,29.0,1579.0,62.0,463.0,880.0,348.0,39.0,1566.0,17.0,28.0,968.0,4877.0,2436.0,81.0,30.0,1203.0,37.0,16.0,49.0,304.0,37.0,26.0
Adam Armstrong,15,20,5,24,16,14,13.4,2.0,2.0,0.0,0.0,45.0,227.0,2690.0,93.0,97.0,21.0,19.0,10.0,8.0,0.0,166.0,6.0,1.0,3.0,356.0,2.0,27.0,144.0,213.0,61.0,332.0,14.0,28.0,251.0,1463.0,847.0,54.0,20.0,484.0,12.0,8.0,6.0,46.0,8.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Forshaw,8,20,7,30,13,10,10.1,0.0,0.0,2.0,0.0,8.0,357.0,5746.0,150.0,126.0,61.0,5.0,12.0,23.0,11.0,180.0,7.0,1.0,11.0,440.0,14.0,137.0,249.0,87.0,4.0,430.0,3.0,9.0,292.0,1359.0,523.0,19.0,10.0,323.0,21.0,12.0,11.0,84.0,5.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Idah,14,30,3,20,13,2,3.1,0.0,0.0,0.0,0.0,9.0,53.0,706.0,24.0,18.0,6.0,4.0,1.0,6.0,1.0,32.0,1.0,1.0,2.0,83.0,4.0,8.0,29.0,52.0,11.0,81.0,2.0,3.0,59.0,323.0,104.0,8.0,8.0,116.0,3.0,4.0,3.0,10.0,6.0,8.0,17.0,1.0,3.8,3.0,1.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,2.0,4.0,0.0,0.0,0.0
Adam Lallana,3,20,7,33,14,12,11.9,0.0,1.0,4.0,0.0,11.0,645.0,8759.0,335.0,229.0,53.0,9.0,20.0,26.0,8.0,209.0,18.0,4.0,9.0,757.0,25.0,194.0,417.0,192.0,28.0,756.0,12.0,17.0,532.0,2278.0,1078.0,47.0,13.0,618.0,12.0,17.0,13.0,108.0,7.0,10.0,31.0,17.0,18.6,1.0,1.0,0.0,0.0,24.0,936.0,12397.0,460.0,339.0,83.0,17.0,32.0,32.0,10.0,339.0,26.0,3.0,14.0,1106.0,33.0,240.0,556.0,382.0,70.0,1086.0,15.0,24.0,780.0,3552.0,1916.0,81.0,17.0,964.0,23.0,28.0,27.0,158.0,13.0,32.0
