Name,Team,Reason,Date_2022-12-26 00:00:00,Date_2022-12-27 00:00:00,Date_2022-12-28 00:00:00,Date_2022-12-29 00:00:00,Date_2022-12-30 00:00:00,Date_2022-12-31 00:00:00,Date_2022-01-01 00:00:00,Date_2022-01-02 00:00:00,Date_2022-01-03 00:00:00,Date_2022-01-04 00:00:00
Adam Masina,Watford,Thigh Injury,0,1,0,0,0,0,0,0,0,0
Adam Webster,Brighton and Hove Albion,Calf/Shin/Heel Injury,1,0,0,0,0,0,0,0,0,0
Allan Saint-Maximin,Newcastle United,Calf/Shin/Heel Injury,0,0,1,1,1,1,1,1,1,1
Andreas Christensen,Chelsea,Lower Back Injury,0,0,0,0,1,1,1,1,1,1
Bryan Mbeumo,Brentford,Calf/Shin/Heel Injury,0,1,1,1,1,1,1,1,1,1
Callum Wilson,Newcastle United,Calf/Shin/Heel Injury,0,0,1,1,1,1,1,1,1,1
Conor Gallagher,Crystal Palace,Knock,0,0,1,1,1,1,0,0,0,0
Dimitris Giannoulis,Norwich City,Foot Injury,0,0,0,1,1,1,1,1,1,1
Dominic Thompson,Brentford,Ankle/Foot Injury,0,0,0,0,1,1,1,0,0,0
Fabian Schar,Newcastle United,Thigh Injury,0,0,1,1,0,0,0,0,0,0
Francisco Sierralta Carvallo,Watford,Thigh Injury,0,1,0,0,0,0,0,0,0,0
Giovani Lo Celso,Tottenham Hotspur,Calf/Shin/Heel Injury,0,1,1,1,1,1,0,0,0,0
Harry Maguire,Manchester United,Chest/Abdominal Injury,0,0,0,0,0,0,0,0,1,1
Jack Harrison,Leeds United,Groin/Hip/Pelvic Injury,0,0,0,0,0,1,1,0,0,0
James Maddison,Leicester City,Calf/Shin/Heel Injury,0,0,0,1,1,1,1,1,1,1
Jamie Vardy,Leicester City,Thigh Injury,0,0,0,1,1,1,1,1,1,1
Kiko Femenia,Watford,Thigh Injury,0,0,0,1,1,1,1,1,1,1
Leandro Trossard,Brighton and Hove Albion,Thigh Injury,0,1,1,1,1,1,1,1,0,0
Mathias Jensen,Brentford,Groin/Hip/Pelvic Injury,0,0,0,0,0,0,0,0,0,1
N'Golo Kante,Chelsea,Knee Injury,0,1,1,1,0,0,0,0,0,0
Patson Daka,Leicester City,Thigh Injury,0,1,1,1,1,1,1,1,1,1
Reece James,Chelsea,Thigh Injury,0,0,0,0,1,1,1,1,1,1
Ryan Bertrand,Leicester City,Knee Injury,0,1,1,1,1,1,1,1,1,1
Ryan Fraser,Newcastle United,Thigh Injury,0,0,0,1,1,1,1,1,1,1
Sergi Canos Tenes,Brentford,Thigh Injury,0,0,0,0,0,0,0,0,0,1
Steven Bergwijn,Tottenham Hotspur,Calf/Shin/Heel Injury,0,0,0,1,1,1,1,1,1,1
Takumi Minamino,Liverpool,Muscle Soreness,0,0,0,1,1,1,1,1,1,1
Teemu Pukki,Norwich City,Thigh Injury,0,0,0,1,1,0,0,0,0,0
Thiago Silva,Chelsea,Thigh Injury,0,1,1,1,1,1,1,1,0,0
Tom Cleverley,Watford,Thigh Injury,0,0,1,1,1,1,0,0,0,0
Trevoh Chalobah,Chelsea,Thigh Injury,0,0,0,0,0,0,0,0,1,1
Valentino Livramento,Southampton,Knee Injury,0,0,0,1,1,1,1,1,1,1
William Smallbone,Southampton,Calf/Shin/Heel Injury,0,0,0,1,1,1,1,1,1,1
