Name,Team,Reason,Potantial Return,Status,Date
Sead Kolasinac,"Arsenal
TRACK
7",Ankle/Foot Injury,22/01/2022,Ruled Out,26/12/2022
Pierre-Emerick Aubameyang,"Arsenal
TRACK
7",Suspended,26/12/2021,25%,26/12/2022
Takehiro Tomiyasu,"Arsenal
TRACK
7",Calf/Shin/Heel Injury,26/12/2021,25%,26/12/2022
Ainsley Maitland-Niles,"Arsenal
TRACK
7",Illness,26/12/2021,75%,26/12/2022
Albert-Mboyo Sambi Lokonga,"Arsenal
TRACK
7",Illness,No Return Date,Ruled Out,26/12/2022
Pablo Mari Villar,"Arsenal
TRACK
7",Illness,No Return Date,Ruled Out,26/12/2022
Calum Chambers,"Arsenal
TRACK
7",Illness,No Return Date,Ruled Out,26/12/2022
Marvelous Nakamba,"Aston Villa
TRACK
7",Knee Injury,02/04/2022,Ruled Out,26/12/2022
Bertrand Isidore Traore,"Aston Villa
TRACK
7",Thigh Injury,15/01/2022,Ruled Out,26/12/2022
Anwar El Ghazi,"Aston Villa
TRACK
7",Illness,26/12/2021,75%,26/12/2022
Morgan Sanson,"Aston Villa
TRACK
7",Illness,26/12/2021,75%,26/12/2022
Keinan Davis,"Aston Villa
TRACK
7",Illness,26/12/2021,50%,26/12/2022
Leon Bailey,"Aston Villa
TRACK
7",Thigh Injury,No Return Date,Ruled Out,26/12/2022
Jed Steer,"Aston Villa
TRACK
7",Illness,No Return Date,Ruled Out,26/12/2022
Kristoffer Ajer,"Brentford
TRACK
7",Thigh Injury,08/01/2022,Ruled Out,26/12/2022
Rico Henry,"Brentford
TRACK
7",Thigh Injury,26/12/2021,75%,26/12/2022
David Raya Martin,"Brentford
TRACK
7",Knee Injury,No Return Date,Ruled Out,26/12/2022
Mathias Jorgensen,"Brentford
TRACK
7",Thigh Injury,No Return Date,Ruled Out,26/12/2022
Charlie Goode,"Brentford
TRACK
7",Thigh Injury,No Return Date,25%,26/12/2022
Julian Jeanvier,"Brentford
TRACK
7",Knee Injury,No Return Date,Ruled Out,26/12/2022
Joshua Dasilva,"Brentford
TRACK
7",Groin/Hip/Pelvic Injury,No Return Date,Ruled Out,26/12/2022
Lewis Dunk,"Brighton and Hove Albion
TRACK
8",Knee Injury,23/01/2022,Ruled Out,26/12/2022
Steven Alzate,"Brighton and Hove Albion
TRACK
8",Ankle/Foot Injury,01/01/2022,Ruled Out,26/12/2022
Yves Bissouma,"Brighton and Hove Albion
TRACK
8",Suspended,29/12/2021,Ruled Out,26/12/2022
Adam Webster,"Brighton and Hove Albion
TRACK
8",Calf/Shin/Heel Injury,26/12/2021,75%,26/12/2022
Joel Veltman,"Brighton and Hove Albion
TRACK
8",Thigh Injury,26/12/2021,50%,26/12/2022
Jeremy Sarmiento,"Brighton and Hove Albion
TRACK
8",Thigh Injury,No Return Date,Ruled Out,26/12/2022
Jurgen Locadia,"Brighton and Hove Albion
TRACK
8",Illness,No Return Date,Ruled Out,26/12/2022
Jason Steele,"Brighton and Hove Albion
TRACK
8",Illness,No Return Date,Ruled Out,26/12/2022
Dale Stephens,"Burnley
TRACK
4",Illness,30/12/2021,75%,26/12/2022
Maxwel Cornet,"Burnley
TRACK
4",Thigh Injury,30/12/2021,50%,26/12/2022
Connor Roberts,"Burnley
TRACK
4",Illness,No Return Date,Ruled Out,26/12/2022
Ashley Barnes,"Burnley
TRACK
4",Thigh Injury,No Return Date,Ruled Out,26/12/2022
Romelu Lukaku,"Chelsea
TRACK
7",Illness,26/12/2021,75%,26/12/2022
Timo Werner,"Chelsea
TRACK
7",Illness,26/12/2021,25%,26/12/2022
Kai Havertz,"Chelsea
TRACK
7",Illness,26/12/2021,25%,26/12/2022
Callum Hudson-Odoi,"Chelsea
TRACK
7",Illness,26/12/2021,75%,26/12/2022
Ruben Loftus-Cheek,"Chelsea
TRACK
7",Ankle/Foot Injury,26/12/2021,25%,26/12/2022
Hakim Ziyech,"Chelsea
TRACK
7",Calf/Shin/Heel Injury,26/12/2021,50%,26/12/2022
Ben Chilwell,"Chelsea
TRACK
7",Illness,No Return Date,Ruled Out,26/12/2022
James McArthur,"Crystal Palace
TRACK
2",Thigh Injury,No Return Date,Ruled Out,26/12/2022
Nathan Ferguson,"Crystal Palace
TRACK
2",Calf/Shin/Heel Injury,No Return Date,Ruled Out,26/12/2022
Richarlison de Andrade,"Everton
TRACK
9",Calf/Shin/Heel Injury,02/01/2022,Ruled Out,26/12/2022
Dominic Calvert-Lewin,"Everton
TRACK
9",Thigh Injury,30/12/2021,100%,26/12/2022
Lucas Digne,"Everton
TRACK
9",Illness,30/12/2021,100%,26/12/2022
Demarai Gray,"Everton
TRACK
9",Illness,30/12/2021,50%,26/12/2022
Fabian Delph,"Everton
TRACK
9",Illness,30/12/2021,50%,26/12/2022
Tom Davies,"Everton
TRACK
9",Knee Injury,30/12/2021,25%,26/12/2022
Yerry Mina,"Everton
TRACK
9",Calf/Shin/Heel Injury,No Return Date,Ruled Out,26/12/2022
Andros Townsend,"Everton
TRACK
9",Ankle/Foot Injury,No Return Date,Ruled Out,26/12/2022
Jose Salomon Rondon,"Everton
TRACK
9",Thigh Injury,No Return Date,25%,26/12/2022
Liam Cooper,"Leeds United
TRACK
9",Thigh Injury,No Return Date,Ruled Out,26/12/2022
Kalvin Phillips,"Leeds United
TRACK
9",Thigh Injury,No Return Date,Ruled Out,26/12/2022
