Name,Team,Reason,Potantial Return,Status,Date
Sead Kolasinac,Arsenal,Ankle/Foot Injury,22/01/2022,Ruled Out,01/01/2022
Gabriel dos Santos Magalhaes,Arsenal,Suspended,09/01/2022,Ruled Out,01/01/2022
Calum Chambers,Arsenal,Illness,01/01/2022,25%,01/01/2022
Pierre-Emerick Aubameyang,Arsenal,Other,No Return Date,Ruled Out,01/01/2022
Marvelous Nakamba,Aston Villa,Knee Injury,02/04/2022,Ruled Out,01/01/2022
Tyrone Mings,Aston Villa,Suspended,10/01/2022,Ruled Out,01/01/2022
Ashley Young,Aston Villa,Ankle/Foot Injury,02/01/2022,25%,01/01/2022
Leon Bailey,Aston Villa,Thigh Injury,No Return Date,Ruled Out,01/01/2022
Rico Henry,Brentford,Thigh Injury,16/01/2022,Ruled Out,01/01/2022
Dominic Thompson,Brentford,Ankle/Foot Injury,02/01/2022,100%,01/01/2022
Kristoffer Ajer,Brentford,Thigh Injury,02/01/2022,50%,01/01/2022
Vitaly Janelt,Brentford,Illness,02/01/2022,50%,01/01/2022
Bryan Mbeumo,Brentford,Calf/Shin/Heel Injury,02/01/2022,75%,01/01/2022
Christian Norgaard,Brentford,Suspended,02/01/2022,100%,01/01/2022
David Raya Martin,Brentford,Knee Injury,No Return Date,Ruled Out,01/01/2022
Mathias Jorgensen,Brentford,Thigh Injury,No Return Date,Ruled Out,01/01/2022
Charlie Goode,Brentford,Thigh Injury,No Return Date,25%,01/01/2022
Julian Jeanvier,Brentford,Knee Injury,No Return Date,Ruled Out,01/01/2022
Joshua Dasilva,Brentford,Groin/Hip/Pelvic Injury,No Return Date,Ruled Out,01/01/2022
Lewis Dunk,Brighton and Hove Albion,Knee Injury,23/01/2022,Ruled Out,01/01/2022
Jurgen Locadia,Brighton and Hove Albion,Illness,02/01/2022,75%,01/01/2022
Leandro Trossard,Brighton and Hove Albion,Thigh Injury,02/01/2022,75%,01/01/2022
Jeremy Sarmiento,Brighton and Hove Albion,Thigh Injury,No Return Date,Ruled Out,01/01/2022
Josh Brownhill,Burnley,Illness,08/01/2022,50%,01/01/2022
Nick Pope,Burnley,Illness,02/01/2022,50%,01/01/2022
Jay Rodriguez,Burnley,Illness,02/01/2022,50%,01/01/2022
Kevin Long,Burnley,Illness,02/01/2022,100%,01/01/2022
Maxwel Cornet,Burnley,Thigh Injury,02/01/2022,75%,01/01/2022
Connor Roberts,Burnley,Illness,No Return Date,Ruled Out,01/01/2022
Ashley Barnes,Burnley,Thigh Injury,No Return Date,Ruled Out,01/01/2022
Thiago Silva,Chelsea,Thigh Injury,02/01/2022,75%,01/01/2022
Reece James,Chelsea,Thigh Injury,No Return Date,Ruled Out,01/01/2022
Andreas Christensen,Chelsea,Lower Back Injury,No Return Date,Ruled Out,01/01/2022
Timo Werner,Chelsea,Illness,No Return Date,Ruled Out,01/01/2022
Ruben Loftus-Cheek,Chelsea,Ankle/Foot Injury,No Return Date,25%,01/01/2022
Ben Chilwell,Chelsea,Knee Injury,No Return Date,Ruled Out,01/01/2022
James McArthur,Crystal Palace,Thigh Injury,14/01/2022,Ruled Out,01/01/2022
Michael Olise,Crystal Palace,Illness,08/01/2022,50%,01/01/2022
Nathaniel Clyne,Crystal Palace,Illness,08/01/2022,50%,01/01/2022
Conor Gallagher,Crystal Palace,Illness,08/01/2022,50%,01/01/2022
Richarlison de Andrade,Everton,Calf/Shin/Heel Injury,15/01/2022,Ruled Out,01/01/2022
Dominic Calvert-Lewin,Everton,Thigh Injury,02/01/2022,100%,01/01/2022
Lucas Digne,Everton,Illness,02/01/2022,100%,01/01/2022
Jose Salomon Rondon,Everton,Thigh Injury,02/01/2022,25%,01/01/2022
Demarai Gray,Everton,Illness,02/01/2022,50%,01/01/2022
Fabian Delph,Everton,Illness,02/01/2022,25%,01/01/2022
Tom Davies,Everton,Knee Injury,02/01/2022,50%,01/01/2022
Yerry Mina,Everton,Calf/Shin/Heel Injury,No Return Date,Ruled Out,01/01/2022
Andros Townsend,Everton,Ankle/Foot Injury,No Return Date,Ruled Out,01/01/2022
