Name,First Name,Last Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days
A. Lacazette,Alexandre,Alexandre,Arsenal,14,0.0,Hamstring,20.0,48.0,19.0,0.0,0.0,0.0,0.0,28.0,274.0
A. Lokonga,Albert-Mboyo,Albert-Mboyo,Arsenal,1,9.0,Virus,0.0,0.0,0.0,0.0,0.0,7.0,0.0,7.0,9.0
A. Maitland-Niles,Ainsley,Ainsley,Arsenal,8,9.0,Knock,11.0,0.0,100.0,0.0,0.0,2.0,7.0,9.0,139.0
A. Ramsdale,Aaron,Aaron,Arsenal,2,0.0,Knock,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
B. Leno,Bernd,Bernd,Arsenal,2,7.0,Hip/Thigh Injury,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,74.0
B. Saka,Bukayo,Bukayo,Arsenal,8,3.0,Thigh Muscle Strain,30.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0
B. White,Benjamin,Benjamin,Arsenal,1,15.0,Knock,0.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,15.0
C. Chambers,Calum,Calum,Arsenal,12,13.0,Knock,5.0,0.0,22.0,0.0,0.0,5.0,0.0,25.0,535.0
Cédric Soares,Cédric Ricardo,Cédric Ricardo,Arsenal,11,5.0,Ankle/Foot Injury,31.0,202.0,16.0,0.0,0.0,0.0,0.0,0.0,352.0
E. Nketiah,Edward,Edward,Arsenal,1,33.0,Ankle/Foot Injury,0.0,0.0,0.0,0.0,0.0,11.0,0.0,11.0,33.0
E. Smith Rowe,Emile,Emile,Arsenal,12,6.0,Groin/Pelvis Injury,62.0,18.0,150.0,0.0,0.0,0.0,0.0,0.0,236.0
G. Xhaka,Granit,Granit,Arsenal,10,89.0,Groin Strain,15.0,27.0,44.0,26.0,13.0,0.0,4.0,83.0,179.0
Gabriel Magalhães,Gabriel,Gabriel,Arsenal,4,15.0,Knee Injury,20.0,0.0,0.0,15.0,3.0,6.0,0.0,24.0,89.0
Gabriel Martinelli,Gabriel Teodoro,Gabriel Teodoro,Arsenal,6,1.0,Knock,9.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0
K. Tierney,Kieran,Kieran,Arsenal,8,18.0,Groin/Pelvis Injury,87.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,244.0
M. Ødegaard,Martin,Martin,Arsenal,10,0.0,Knee Injury,62.0,15.0,9.0,0.0,0.0,0.0,0.0,0.0,188.0
Mohamed Elneny,Mohamed Naser,Mohamed Naser,Arsenal,5,24.0,Thigh Muscle Strain,12.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,86.0
N. Pépé,Nicolas,Nicolas,Arsenal,2,0.0,Ankle/Foot Injury,0.0,4.0,0.0,0.0,22.0,0.0,0.0,22.0,10.0
P. Aubameyang,Pierre-Emerick Emiliano François,Pierre-Emerick Emiliano François,Arsenal,11,6.0,Knock,39.0,7.0,28.0,23.0,0.0,27.0,0.0,50.0,88.0
Pablo Marí,Pablo,Pablo,Arsenal,5,1.0,Ankle/Foot Injury,25.0,0.0,0.0,0.0,0.0,0.0,12.0,34.0,221.0
R. Holding,Rob,Rob,Arsenal,6,22.0,Knee Injury,15.0,51.0,0.0,0.0,0.0,0.0,0.0,3.0,356.0
S. Kolašinac,Sead,Sead,Arsenal,17,70.0,Thigh Muscle Strain,41.0,172.0,74.0,0.0,3.0,0.0,0.0,3.0,377.0
T. Partey,Thomas,Thomas,Arsenal,8,52.0,Hamstring,84.0,4.0,0.0,0.0,0.0,19.0,14.0,186.0,156.0
T. Tomiyasu,Takehiro,Takehiro,Arsenal,2,11.0,Calf/Shin Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
A. El Ghazi,Anwar,Anwar,Aston Villa,9,13.0,Groin Strain,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,99.0
A. Tuanzebe,Axel,Axel,Aston Villa,4,9.0,Ankle/Foot Injury,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,242.0
A. Young,Ashley,Ashley,Aston Villa,22,12.0,Ankle/Foot Injury,0.0,0.0,5.0,0.0,0.0,8.0,15.0,40.0,642.0
Bertrand Traoré,Bertrand Isidore,Bertrand Isidore,Aston Villa,9,108.0,Thigh Muscle Strain,31.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,234.0
Carney Chukwuemeka,Carney Chibueze,Carney Chibueze,Aston Villa,1,17.0,Groin/Pelvis Injury,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
D. Ings,Daniel William John,Daniel William John,Aston Villa,15,34.0,Hamstring,106.0,0.0,105.0,0.0,0.0,0.0,0.0,0.0,713.0
Douglas Luiz,Douglas Luiz,Douglas Luiz,Aston Villa,6,41.0,Hamstring,0.0,0.0,63.0,0.0,6.0,0.0,8.0,14.0,109.0
E. Buendía,Emiliano,Emiliano,Aston Villa,5,10.0,Ankle/Foot Injury,0.0,12.0,0.0,0.0,0.0,0.0,13.0,414.0,78.0
E. Konsa,Ezri,Ezri,Aston Villa,4,12.0,Thigh Muscle Strain,12.0,17.0,0.0,18.0,0.0,0.0,6.0,24.0,41.0
E. Martínez,Damián Emiliano,Damián Emiliano,Aston Villa,1,0.0,Groin/Pelvis Injury,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
J. McGinn,John,John,Aston Villa,2,5.0,Ankle/Foot Injury,0.0,166.0,0.0,0.0,4.0,0.0,17.0,21.0,171.0
J. Philogene-Bidace,Jaden,Jaden,Aston Villa,2,28.0,Knock,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
J. Steer,Jed,Jed,Aston Villa,3,13.0,Calf/Shin Injury,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,233.0
K. Davis,Keinan,Keinan,Aston Villa,5,82.0,Thigh Muscle Strain,37.0,115.0,0.0,0.0,0.0,0.0,0.0,0.0,234.0
K. Hause,Kortney,Kortney,Aston Villa,4,0.0,Ankle/Foot Injury,166.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,187.0
