Name,Team,link
Z. Steffen,Manchester City,https://int.soccerway.com/players/zack-steffen/281843/
Ederson Moraes,Manchester City,https://int.soccerway.com/players/ederson--santana-de-moraes/206804/
S. Carson,Manchester City,https://int.soccerway.com/players/scott-carson/2759/
C. Slicker,Manchester City,https://int.soccerway.com/players/cieran-slicker/572604/
K. Walker,Manchester City,https://int.soccerway.com/players/kyle-walker/68532/
Rúben Dias,Manchester City,https://int.soccerway.com/players/ruben-dias/290253/
J. Stones,Manchester City,https://int.soccerway.com/players/john-stones/189445/
N. Aké,Manchester City,https://int.soccerway.com/players/nathan-ake/182930/
Aymeric Laporte,Manchester City,https://int.soccerway.com/players/aymeric--laporte/182904/
B. Mendy,Manchester City,https://int.soccerway.com/players/benjamin-mendy/162509/
João Cancelo,Manchester City,https://int.soccerway.com/players/joao-pedro-cavaco-cancelo/161784/
C. Egan-Riley,Manchester City,https://int.soccerway.com/players/conrad-jonathan-egan-riley/561739/
L. Mbete-Tabu,Manchester City,https://int.soccerway.com/players/luke-mbete-tatu/603118/
F. Burns,Manchester City,https://int.soccerway.com/players/finley-burns/546918/
J. Wilson-Esbrand,Manchester City,https://int.soccerway.com/players/josh-wilson-esbrand/543733/
İ. Gündoğan,Manchester City,https://int.soccerway.com/players/-gundogan/69050/
J. Grealish,Manchester City,https://int.soccerway.com/players/jack-grealish/213954/
O. Zinchenko,Manchester City,https://int.soccerway.com/players/oleksandr-zinchenko/275836/
Rodri,Manchester City,https://int.soccerway.com/players/rodrigo-hernandez-cascante/395959/
K. De Bruyne,Manchester City,https://int.soccerway.com/players/kevin-de-bruyne/78532/
Bernardo Silva,Manchester City,https://int.soccerway.com/players/bernardo-mota-veiga-de-carvalho-e-silva/298753/
Fernandinho,Manchester City,https://int.soccerway.com/players/fernando-luiz-rosa/19655/
P. Foden,Manchester City,https://int.soccerway.com/players/philip-walter-foden/453102/
C. Palmer,Manchester City,https://int.soccerway.com/players/cole-palmer/525801/
J. McAtee,Manchester City,https://int.soccerway.com/players/james-mcatee/546917/
R. Lavia,Manchester City,https://int.soccerway.com/players/romeo-lavia/669609/
R. Sterling,Manchester City,https://int.soccerway.com/players/raheem-sterling/160414/
Gabriel Jesus,Manchester City,https://int.soccerway.com/players/gabriel-fernando-de-jesus/364017/
Ferran Torres,Manchester City,https://int.soccerway.com/players/ferran-torres-garcia/420666/
R. Mahrez,Manchester City,https://int.soccerway.com/players/riyad-mahrez/156662/
S. Edozie,Manchester City,https://int.soccerway.com/players/samuel-edozie/632252/
Alisson,Liverpool,https://int.soccerway.com/players/alisson-ramses-becker/102643/
Adrián,Liverpool,https://int.soccerway.com/players/adrian-san-miguel-del-castillo/60036/
L. Karius,Liverpool,https://int.soccerway.com/players/loris--karius/205201/
L. Hughes,Liverpool,https://int.soccerway.com/players/liam-hughes/477486/
C. Kelleher,Liverpool,https://int.soccerway.com/players/caoimhin-kelleher/375147/
Marcelo,Liverpool,https://int.soccerway.com/players/marcelo-de-araujo-pitaluga-filho/540189/
H. Davies,Liverpool,https://int.soccerway.com/players/harvey-davies/632255/
V. van Dijk,Liverpool,https://int.soccerway.com/players/virgil-van-dijk/188624/
I. Konaté,Liverpool,https://int.soccerway.com/players/ibrahima-konate/416730/
J. Gomez,Liverpool,https://int.soccerway.com/players/joseph-gomez/290182/
K. Tsimikas,Liverpool,https://int.soccerway.com/players/konstantinos-tsimikas/372317/
A. Robertson,Liverpool,https://int.soccerway.com/players/andrew-robertson/254527/
J. Matip,Liverpool,https://int.soccerway.com/players/joel-matip/101189/
N. Phillips,Liverpool,https://int.soccerway.com/players/nathaniel-phillips/456092/
O. Beck,Liverpool,https://int.soccerway.com/players/owen-beck/506412/
T. Alexander-Arnold,Liverpool,https://int.soccerway.com/players/trent-arnold/376875/
N. Williams,Liverpool,https://int.soccerway.com/players/neco-shay-williams/459370/
J. Quansah,Liverpool,https://int.soccerway.com/players/jarell-quansah/623093/
B. Koumetio,Liverpool,https://int.soccerway.com/players/billy-koumetio/623089/
J. Norris,Liverpool,https://int.soccerway.com/players/james-norris/623099/
Fabinho,Liverpool,https://int.soccerway.com/players/fabio-henrique-tavares/245348/
Thiago Alcântara,Liverpool,https://int.soccerway.com/players/thiago-alcantara-do-nascimiento/79017/
J. Milner,Liverpool,https://int.soccerway.com/players/james-milner/2899/
