Name,Team,Reason,Date_2022-12-26 00:00:00,Date_2022-12-27 00:00:00,Date_2022-12-28 00:00:00,Date_2022-12-29 00:00:00,Date_2022-12-30 00:00:00,Date_2022-12-31 00:00:00,Date_2022-01-01 00:00:00,Date_2022-01-02 00:00:00,Date_2022-01-03 00:00:00,Date_2022-01-04 00:00:00
Aaron Cresswell,West Ham United,Lower Back Injury,1,1,1,1,1,1,1,1,1,1
Aaron Wan-Bissaka,Manchester United,Knee Injury,1,0,0,0,0,0,0,0,0,0
Adam Armstrong,Southampton,Calf/Shin/Heel Injury,1,0,0,0,0,0,0,0,0,0
Adam Masina,Watford,Thigh Injury,0,1,0,0,0,0,0,0,0,0
Adam Webster,Brighton and Hove Albion,Calf/Shin/Heel Injury,1,0,0,0,0,0,0,0,0,0
Adrian San Miguel del Castillo,Liverpool,Calf/Shin/Heel Injury,1,1,1,1,1,1,1,1,0,0
Alex McCarthy,Southampton,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Allan Saint-Maximin,Newcastle United,Calf/Shin/Heel Injury,0,0,1,1,1,1,1,1,1,1
Andreas Christensen,Chelsea,Lower Back Injury,0,0,0,0,1,1,1,1,1,1
Andrew Omobamidele,Norwich City,Lower Back Injury,1,1,1,1,1,1,1,1,1,1
Andros Townsend,Everton,Ankle/Foot Injury,1,1,1,1,1,1,1,1,1,1
Angelo Ogbonna,West Ham United,Knee Injury,1,1,1,1,1,1,1,1,1,1
Anthony Martial,Manchester United,Knee Injury,1,1,1,1,1,1,1,1,1,1
Ashley Barnes,Burnley,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Ashley Young,Aston Villa,Ankle/Foot Injury,0,0,0,0,0,1,1,1,1,1
Ashley Young,Aston Villa,Other,0,1,1,1,1,0,0,0,0,0
Ben Chilwell,Chelsea,Knee Injury,0,0,0,0,0,1,1,1,1,1
Ben Foster,Watford,Groin/Hip/Pelvic Injury,1,1,1,1,1,1,1,1,1,1
Bryan Mbeumo,Brentford,Calf/Shin/Heel Injury,0,1,1,1,1,1,1,1,1,1
Caglar Soyuncu,Leicester City,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Callum Wilson,Newcastle United,Calf/Shin/Heel Injury,0,0,1,1,1,1,1,1,1,1
Charlie Cresswell,Leeds United,Shoulder Injury,1,1,1,1,1,1,1,1,1,1
Charlie Goode,Brentford,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Christian Kabasele,Watford,Calf/Shin/Heel Injury,0,1,1,1,1,1,1,1,1,1
Christian Kabasele,Watford,Other,1,0,0,0,0,0,0,0,0,0
Christoph Zimmermann,Norwich City,Ankle/Foot Injury,1,1,1,1,1,1,1,1,1,1
Ciaran Clark,Newcastle United,Other,0,0,1,1,1,1,1,1,1,1
Conor Gallagher,Crystal Palace,Other,0,0,1,1,1,1,0,0,0,0
Cristian Romero,Tottenham Hotspur,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Daniel James,Leeds United,Groin/Hip/Pelvic Injury,1,1,1,1,1,1,1,0,0,0
Danny Rose,Watford,Knee Injury,0,0,1,1,1,1,1,1,1,1
Danny Ward,Leicester City,Other,0,1,1,0,0,0,0,0,0,0
David Raya Martin,Brentford,Knee Injury,1,1,1,1,1,1,1,1,1,1
Dimitris Giannoulis,Norwich City,Other,0,0,0,1,1,1,1,1,1,1
Divock Origi,Liverpool,Knee Injury,0,0,0,0,1,1,1,1,1,1
Dominic Calvert-Lewin,Everton,Thigh Injury,1,1,1,1,1,1,1,0,0,0
Dominic Thompson,Brentford,Ankle/Foot Injury,0,0,0,0,1,1,1,0,0,0
Edinson Cavani Gomez,Manchester United,Other,1,1,0,0,0,0,0,0,0,0
Fabian Schar,Newcastle United,Thigh Injury,0,0,1,1,0,0,0,0,0,0
Federico Fernandez,Newcastle United,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Ferran Torres Garcia,Manchester City,Ankle/Foot Injury,1,1,1,1,0,0,0,0,0,0
Francisco Sierralta Carvallo,Watford,Thigh Injury,0,1,0,0,0,0,0,0,0,0
Fraser Forster,Southampton,Groin/Hip/Pelvic Injury,1,0,0,0,0,0,0,0,0,0
Giovani Lo Celso,Tottenham Hotspur,Calf/Shin/Heel Injury,0,1,1,1,1,1,0,0,0,0
Grant Hanley,Norwich City,Shoulder Injury,1,1,1,1,1,1,1,1,1,1
Hakim Ziyech,Chelsea,Calf/Shin/Heel Injury,1,0,0,0,0,0,0,0,0,0
Harry Maguire,Manchester United,Chest/Abdominal Injury,0,0,0,0,0,0,0,0,0,1
Harry Maguire,Manchester United,Other,0,0,0,0,0,0,0,0,1,0
Harvey Barnes,Leicester City,Other,0,1,1,1,0,0,0,0,0,0
Harvey Elliott,Liverpool,Ankle/Foot Injury,1,1,1,1,1,1,1,1,1,1
Hee-Chan Hwang,Wolverhampton Wanderers,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Isaac Hayden,Newcastle United,Knee Injury,0,0,0,0,1,1,1,1,1,1
Ismaila Sarr,Watford,Knee Injury,1,1,1,1,1,1,1,1,1,1
Jack Harrison,Leeds United,Groin/Hip/Pelvic Injury,0,0,0,0,0,1,1,0,0,0
Jamal Lewis,Newcastle United,Thigh Injury,1,1,1,1,1,1,1,1,1,1
James Justin,Leicester City,Knee Injury,1,1,1,1,1,1,1,1,1,1
James Maddison,Leicester City,Calf/Shin/Heel Injury,0,0,0,0,1,1,1,1,1,1
James Maddison,Leicester City,Other,0,0,0,1,0,0,0,0,0,0
James McArthur,Crystal Palace,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Jamie Shackleton,Leeds United,Calf/Shin/Heel Injury,1,1,1,1,1,1,1,1,1,1
Jamie Vardy,Leicester City,Thigh Injury,1,0,0,1,1,1,1,1,1,1
Jarrad Branthwaite,Everton,Other,0,0,0,0,0,0,0,0,1,1
Jeremy Sarmiento,Brighton and Hove Albion,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Joachim Andersen,Crystal Palace,Other,0,0,0,1,1,1,0,0,0,0
Joel Veltman,Brighton and Hove Albion,Thigh Injury,1,1,1,1,0,0,0,0,0,0
John Stones,Manchester City,Other,0,1,1,1,1,1,1,1,1,1
Jonjo Shelvey,Newcastle United,Other,1,1,0,0,0,0,0,0,0,0
Jonny Castro Otto,Wolverhampton Wanderers,Knee Injury,1,1,1,1,1,1,1,1,1,1
Jonny Evans,Leicester City,Thigh Injury,0,1,1,1,1,1,1,1,1,1
Jose Salomon Rondon,Everton,Thigh Injury,1,1,1,1,1,1,1,1,0,0
Joseph Willock,Newcastle United,Other,0,0,1,1,1,1,1,1,1,1
Joshua Dasilva,Brentford,Groin/Hip/Pelvic Injury,1,1,1,1,1,1,1,1,1,1
Julian Jeanvier,Brentford,Knee Injury,1,1,1,1,1,1,1,1,1,1
Kalvin Phillips,Leeds United,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Karl Darlow,Newcastle United,Other,0,0,1,1,1,1,1,1,1,1
Kiko Femenia,Watford,Other,0,0,0,1,1,0,0,0,0,0
Kiko Femenia,Watford,Thigh Injury,0,0,0,0,0,1,1,1,1,1
Kristoffer Ajer,Brentford,Thigh Injury,1,1,1,1,1,1,1,1,0,0
Kurt Zouma,West Ham United,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Kwadwo Baah,Watford,Ankle/Foot Injury,1,1,1,1,1,1,1,1,1,1
Leandro Trossard,Brighton and Hove Albion,Thigh Injury,0,1,1,1,1,1,1,1,0,0
Leon Bailey,Aston Villa,Thigh Injury,1,1,1,1,1,1,1,1,1,1
Lewis Dunk,Brighton and Hove Albion,Knee Injury,1,1,1,1,1,1,1,1,1,1
Liam Cooper,Leeds United,Thigh Injury,1,1,1,1,1,1,1,1,1,1
