Date,Name,Potantial Return,Reason,Status,Team
01/01/2022,Aaron Cresswell,No Return Date,Lower Back Injury,Ruled Out,West Ham United
02/01/2022,Aaron Cresswell,No Return Date,Lower Back Injury,Ruled Out,West Ham United
03/01/2022,Aaron Cresswell,No Return Date,Lower Back Injury,Ruled Out,West Ham United
04/01/2022,Aaron Cresswell,No Return Date,Lower Back Injury,Ruled Out,West Ham United
26/12/2022,Aaron Cresswell,No Return Date,Lower Back Injury,Ruled Out,"West Ham United
TRACK
4"
27/12/2022,Aaron Cresswell,No Return Date,Lower Back Injury,Ruled Out,"West Ham United
TRACK
4"
28/12/2022,Aaron Cresswell,No Return Date,Lower Back Injury,Ruled Out,"West Ham United
TRACK
4"
29/12/2022,Aaron Cresswell,No Return Date,Lower Back Injury,Ruled Out,"West Ham United
TRACK
5"
30/12/2022,Aaron Cresswell,No Return Date,Lower Back Injury,Ruled Out,"West Ham United
TRACK
5"
31/12/2022,Aaron Cresswell,No Return Date,Lower Back Injury,Ruled Out,"West Ham United
TRACK
5"
26/12/2022,Aaron Wan-Bissaka,27/12/2021,Knee Injury,100%,"Manchester United
TRACK
7"
26/12/2022,Adam Armstrong,26/12/2021,Calf/Shin/Heel Injury,75%,"Southampton
TRACK
3"
04/01/2022,Adam Masina,No Return Date,Other,Ruled Out,Watford
27/12/2022,Adam Masina,28/12/2021,Thigh Injury,100%,"Watford
TRACK
8"
26/12/2022,Adam Webster,26/12/2021,Calf/Shin/Heel Injury,75%,"Brighton and Hove Albion
TRACK
8"
01/01/2022,Adrian San Miguel del Castillo,No Return Date,Calf/Shin/Heel Injury,Ruled Out,Liverpool
02/01/2022,Adrian San Miguel del Castillo,No Return Date,Calf/Shin/Heel Injury,Ruled Out,Liverpool
26/12/2022,Adrian San Miguel del Castillo,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Liverpool
TRACK
8"
27/12/2022,Adrian San Miguel del Castillo,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Liverpool
TRACK
8"
28/12/2022,Adrian San Miguel del Castillo,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Liverpool
TRACK
4"
29/12/2022,Adrian San Miguel del Castillo,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Liverpool
TRACK
6"
30/12/2022,Adrian San Miguel del Castillo,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Liverpool
TRACK
7"
31/12/2022,Adrian San Miguel del Castillo,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Liverpool
TRACK
7"
26/12/2022,Ainsley Maitland-Niles,26/12/2021,Illness,75%,"Arsenal
TRACK
7"
26/12/2022,Albert-Mboyo Sambi Lokonga,No Return Date,Illness,Ruled Out,"Arsenal
TRACK
7"
04/01/2022,Alex Iwobi,No Return Date,Other,Ruled Out,Everton
01/01/2022,Alex McCarthy,08/01/2022,Thigh Injury,Ruled Out,Southampton
02/01/2022,Alex McCarthy,08/01/2022,Thigh Injury,Ruled Out,Southampton
03/01/2022,Alex McCarthy,08/01/2022,Thigh Injury,Ruled Out,Southampton
04/01/2022,Alex McCarthy,08/01/2022,Thigh Injury,Ruled Out,Southampton
26/12/2022,Alex McCarthy,08/01/2022,Thigh Injury,Ruled Out,"Southampton
TRACK
3"
27/12/2022,Alex McCarthy,08/01/2022,Thigh Injury,Ruled Out,"Southampton
TRACK
4"
28/12/2022,Alex McCarthy,08/01/2022,Thigh Injury,Ruled Out,"Southampton
TRACK
4"
29/12/2022,Alex McCarthy,08/01/2022,Thigh Injury,Ruled Out,"Southampton
TRACK
9"
30/12/2022,Alex McCarthy,08/01/2022,Thigh Injury,Ruled Out,"Southampton
TRACK
9"
31/12/2022,Alex McCarthy,08/01/2022,Thigh Injury,Ruled Out,"Southampton
TRACK
9"
02/01/2022,Alisson Becker,No Return Date,Illness,Ruled Out,Liverpool
03/01/2022,Alisson Becker,No Return Date,Illness,Ruled Out,Liverpool
04/01/2022,Alisson Becker,No Return Date,Illness,Ruled Out,Liverpool
01/01/2022,Allan Saint-Maximin,No Return Date,Calf/Shin/Heel Injury,Ruled Out,Newcastle United
02/01/2022,Allan Saint-Maximin,No Return Date,Calf/Shin/Heel Injury,Ruled Out,Newcastle United
03/01/2022,Allan Saint-Maximin,No Return Date,Calf/Shin/Heel Injury,Ruled Out,Newcastle United
04/01/2022,Allan Saint-Maximin,No Return Date,Calf/Shin/Heel Injury,Ruled Out,Newcastle United
28/12/2022,Allan Saint-Maximin,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Newcastle United
TRACK
12"
29/12/2022,Allan Saint-Maximin,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Newcastle United
TRACK
13"
30/12/2022,Allan Saint-Maximin,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Newcastle United
TRACK
12"
31/12/2022,Allan Saint-Maximin,No Return Date,Calf/Shin/Heel Injury,Ruled Out,"Newcastle United
TRACK
12"
01/01/2022,Andreas Christensen,No Return Date,Lower Back Injury,Ruled Out,Chelsea
02/01/2022,Andreas Christensen,No Return Date,Lower Back Injury,Ruled Out,Chelsea
03/01/2022,Andreas Christensen,No Return Date,Lower Back Injury,Ruled Out,Chelsea
04/01/2022,Andreas Christensen,No Return Date,Lower Back Injury,Ruled Out,Chelsea
30/12/2022,Andreas Christensen,No Return Date,Lower Back Injury,25%,"Chelsea
TRACK
6"
31/12/2022,Andreas Christensen,02/01/2022,Lower Back Injury,25%,"Chelsea
TRACK
6"
01/01/2022,Andrew Omobamidele,09/01/2022,Lower Back Injury,Ruled Out,Norwich City
02/01/2022,Andrew Omobamidele,09/01/2022,Lower Back Injury,Ruled Out,Norwich City
03/01/2022,Andrew Omobamidele,09/01/2022,Lower Back Injury,Ruled Out,Norwich City
04/01/2022,Andrew Omobamidele,09/01/2022,Lower Back Injury,Ruled Out,Norwich City
26/12/2022,Andrew Omobamidele,09/01/2022,Lower Back Injury,Ruled Out,"Norwich City
TRACK
7"
27/12/2022,Andrew Omobamidele,09/01/2022,Lower Back Injury,Ruled Out,"Norwich City
TRACK
7"
28/12/2022,Andrew Omobamidele,09/01/2022,Lower Back Injury,Ruled Out,"Norwich City
TRACK
7"
29/12/2022,Andrew Omobamidele,09/01/2022,Lower Back Injury,Ruled Out,"Norwich City
TRACK
11"
30/12/2022,Andrew Omobamidele,09/01/2022,Lower Back Injury,Ruled Out,"Norwich City
TRACK
11"
31/12/2022,Andrew Omobamidele,09/01/2022,Lower Back Injury,Ruled Out,"Norwich City
TRACK
11"
01/01/2022,Andrew Robertson,06/01/2022,Suspended,Ruled Out,Liverpool
02/01/2022,Andrew Robertson,06/01/2022,Suspended,Ruled Out,Liverpool
03/01/2022,Andrew Robertson,06/01/2022,Suspended,100%,Liverpool
04/01/2022,Andrew Robertson,06/01/2022,Suspended,100%,Liverpool
26/12/2022,Andrew Robertson,02/01/2022,Suspended,Ruled Out,"Liverpool
TRACK
8"
27/12/2022,Andrew Robertson,02/01/2022,Suspended,Ruled Out,"Liverpool
TRACK
8"
28/12/2022,Andrew Robertson,02/01/2022,Suspended,Ruled Out,"Liverpool
TRACK
4"
29/12/2022,Andrew Robertson,02/01/2022,Suspended,Ruled Out,"Liverpool
TRACK
6"
30/12/2022,Andrew Robertson,06/01/2022,Suspended,Ruled Out,"Liverpool
TRACK
7"
31/12/2022,Andrew Robertson,06/01/2022,Suspended,Ruled Out,"Liverpool
TRACK
7"
01/01/2022,Andros Townsend,No Return Date,Ankle/Foot Injury,Ruled Out,Everton
02/01/2022,Andros Townsend,No Return Date,Ankle/Foot Injury,Ruled Out,Everton
03/01/2022,Andros Townsend,No Return Date,Ankle/Foot Injury,Ruled Out,Everton
04/01/2022,Andros Townsend,No Return Date,Ankle/Foot Injury,Ruled Out,Everton
26/12/2022,Andros Townsend,No Return Date,Ankle/Foot Injury,Ruled Out,"Everton
TRACK
9"
27/12/2022,Andros Townsend,No Return Date,Ankle/Foot Injury,Ruled Out,"Everton
TRACK
9"
28/12/2022,Andros Townsend,No Return Date,Ankle/Foot Injury,Ruled Out,"Everton
TRACK
9"
