Name,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days,Suspended,Knock,Hamstring,Ankle/Foot Injury,Knee Injury,Thigh Muscle Strain,Groin/Pelvis Injury,Illness,Virus,Calf/Shin Injury,Groin Strain,Back Injury,Hip/Thigh Injury,Calf Muscle Strain,Thigh Muscle Rupture,Shoulder Injury,Head Injury,Foot Injury,ACL Knee Ligament Injury,Ankle Ligaments,MCL Knee Ligament Injury,Concussion,Sprained Ankle,Rib Injury,Toe Injury,Achilles tendonitis,Thumb / Wrist Injury
Aaron Connolly,6,21,26,97,13,0,0,0,0,0,0,131,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cresswell,26,6,23,33,35,87,0,0,0,0,29,365,2,7,3,1,2,2,2,0,0,1,1,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Aaron Lennon,21,19,17,0,19,175,0,0,0,0,0,721,0,3,5,1,1,1,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Ramsdale,2,0,23,0,11,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Wan Bissaka,9,5,23,10,39,43,0,0,0,11,11,97,2,3,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Abdoulaye Doucouré,6,39,5,57,0,26,0,15,4,0,25,357,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Adam Armstrong,1,0,12,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Forshaw,4,46,23,44,0,0,0,0,0,0,10,366,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Idah,1,0,7,0,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Lallana,26,11,15,67,0,144,0,0,0,0,0,650,0,7,0,0,2,3,1,0,0,1,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
Adam Masina,4,1,23,0,13,0,0,0,0,0,0,98,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Webster,7,55,16,64,30,0,0,0,0,0,5,149,2,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Adama Traoré,11,0,5,5,30,2,0,0,0,0,118,185,6,2,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Ademola Lookman,8,16,5,9,13,47,0,0,0,0,0,181,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrián San Miguel del Castillo,3,0,5,0,1,0,0,0,0,0,35,71,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainsley Maitland Niles,8,4,23,11,0,100,0,0,2,7,9,139,2,2,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Sambi Lokonga,1,9,29,0,0,0,0,0,7,0,7,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Iwobi,9,21,27,0,40,25,0,0,0,0,0,138,0,1,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Král,1,14,29,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex McCarthy,8,0,17,16,9,52,0,0,0,0,0,528,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade Chamberlain,20,0,17,121,21,5,0,0,0,0,0,1001,0,4,5,2,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alex Telles,2,0,5,26,0,0,0,0,0,0,0,90,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,14,0,17,20,48,19,0,0,0,0,28,274,5,0,4,1,1,2,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alexis Mac Allister,3,2,7,38,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson,5,0,12,39,146,0,0,0,4,0,4,185,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
