Name,Team,Number of Inj,inj22,Freq Inj,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days,Suspended,Knock,Hamstring,Ankle/Foot Injury,Knee Injury,Thigh Muscle Strain,Groin/Pelvis Injury,Illness,Virus,Calf/Shin Injury,Groin Strain,Back Injury,Hip/Thigh Injury,Calf Muscle Strain,Thigh Muscle Rupture,Shoulder Injury,Head Injury,Foot Injury,ACL Knee Ligament Injury,Ankle Ligaments,MCL Knee Ligament Injury,Concussion,Sprained Ankle,Rib Injury,Toe Injury,Achilles tendonitis,Thumb / Wrist Injury
Aaron Connolly,Brighton & Hov…,6,21,Thigh Muscle Rupture,97,13,0,0,0,0,0,0,131,0,0,0,1,0,1,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Cresswell,West Ham United,26,6,Knock,33,35,87,0,0,0,0,29,365,2,7,3,1,2,2,2,0,0,1,1,3,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0
Aaron Lennon,Burnley,21,19,Hamstring,0,19,175,0,0,0,0,0,721,0,3,5,1,1,1,0,3,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Ramsdale,Arsenal,2,0,Knock,0,11,0,0,0,0,0,0,11,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Wan Bissaka,Manchester United,9,5,Knock,10,39,43,0,0,0,11,11,97,2,3,1,1,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Abdoulaye Doucouré,Everton,6,39,Ankle/Foot Injury,57,0,26,0,15,4,0,25,357,3,1,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
Adam Armstrong,Southampton,1,0,Calf Muscle Strain,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Forshaw,Leeds United,4,46,Knock,44,0,0,0,0,0,0,10,366,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Idah,Norwich City,1,0,Back Injury,0,34,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Lallana,Brighton & Hov…,26,11,Groin Strain,67,0,144,0,0,0,0,0,650,0,7,0,0,2,3,1,0,0,1,8,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
Adam Masina,Watford,4,1,Knock,0,13,0,0,0,0,0,0,98,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adam Webster,Brighton & Hov…,7,55,Groin/Pelvis Injury,64,30,0,0,0,0,0,5,149,2,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
Adama Traoré,Wolverhampton …,11,0,Ankle/Foot Injury,5,30,2,0,0,0,0,118,185,6,2,2,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
Ademola Lookman,Leicester City,8,16,Ankle/Foot Injury,9,13,47,0,0,0,0,0,181,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adrián San Miguel del Castillo,Liverpool,3,0,Ankle/Foot Injury,0,1,0,0,0,0,0,35,71,2,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ainsley Maitland Niles,Arsenal,8,4,Knock,11,0,100,0,0,2,7,9,139,2,2,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Albert Sambi Lokonga,Arsenal,1,9,Virus,0,0,0,0,0,7,0,7,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Iwobi,Everton,9,21,Thigh Muscle Strain,0,40,25,0,0,0,0,0,138,0,1,0,1,0,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Král,West Ham United,1,14,Virus,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex McCarthy,Southampton,8,0,Hamstring,16,9,52,0,0,0,0,0,528,0,2,2,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Alex Oxlade Chamberlain,Liverpool,20,0,Hamstring,121,21,5,0,0,0,0,0,1001,0,4,5,2,5,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Alex Telles,Manchester United,2,0,Ankle/Foot Injury,26,0,0,0,0,0,0,0,90,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexandre Lacazette,Arsenal,14,0,Hamstring,20,48,19,0,0,0,0,28,274,5,0,4,1,1,2,1,0,0,0,1,1,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Alexis Mac Allister,Brighton & Hov…,3,2,Back Injury,38,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alisson,Liverpool,5,0,Calf Muscle Strain,39,146,0,0,0,4,0,4,185,1,1,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Allan,Everton,4,11,Groin/Pelvis Injury,72,0,0,0,0,0,0,0,83,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allan Saint Maximin,Newcastle United,24,0,Thigh Muscle Strain,112,89,33,0,0,0,0,7,368,1,2,2,3,0,6,1,1,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alphonse Areola,West Ham United,5,0,Abdominal Strain,0,0,15,0,0,0,0,0,72,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amad Diallo Traoré,Manchester United,1,47,Thigh Muscle Strain,0,0,0,0,0,0,0,0,47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andreas Christensen,Chelsea,18,3,Knock,20,39,15,0,0,0,0,0,109,0,5,4,0,1,0,2,1,0,0,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
Andrew Omobamidele,Norwich City,2,7,Back Injury,0,0,0,0,0,0,0,0,29,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew Robertson,Liverpool,14,21,Ankle/Foot Injury,4,11,8,17,0,0,0,23,135,3,3,2,3,0,1,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0
Andriy Yarmolenko,West Ham United,6,9,Achilles tendonitis,89,77,222,0,0,0,0,0,397,0,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Andros Townsend,Everton,16,0,Ankle/Foot Injury,0,65,0,0,0,0,0,0,333,0,3,3,4,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2,0
André Gomes,Everton,20,72,Hamstring,36,163,95,0,0,0,20,139,506,5,4,6,1,2,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Angelo Ogbonna,West Ham United,12,12,Knee Injury,91,12,0,0,0,0,0,0,316,0,0,1,1,4,0,1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Anthony Martial,Manchester United,24,13,Knock,10,60,69,0,28,0,0,28,399,1,7,3,2,3,3,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
Antonio Rüdiger,Chelsea,10,8,Knee Injury,6,110,60,0,0,0,0,0,214,0,2,0,0,3,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anwar El Ghazi,Aston Villa,9,13,Groin Strain,0,9,0,0,0,0,0,7,99,1,0,0,1,1,1,0,1,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Armando Broja,Southampton,2,7,Ankle Fracture,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arthur Masuaku,West Ham United,12,0,Knee Injury,119,24,40,0,0,6,0,56,534,3,1,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ashley Barnes,Burnley,9,0,Groin/Pelvis Injury,73,28,0,0,0,0,0,75,525,4,2,1,0,0,0,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Ashley Westwood,Burnley,11,13,Groin/Pelvis Injury,12,24,5,12,0,7,0,29,142,4,1,1,1,0,1,2,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
