Name,Team,Nationalaty,age,CrsINJURY,Matches Played_x,Minutes / Div By 90_x,Goals_x,Asissts_x,Yellows_x,Reds_x,Total Shots_x,Passes Attemted_x,Passes Total Distance_x,Short Passes_x,Medium Passes_x,Long Passes_x,Cross Passes_x,Head Pases_x,Tackeled_x,Tackeled Dribbels_x,Pressure Applying_x,Blocks_x,Shots Blocks_x,Clearence_x,Touches_x,Touches Defencive Penalty Area_x,Touches Defencive 3RD_x,Touches Mid 3RD_x,Touches Attacking 3RD_x,Touches Attacking Penalty Area_x,Touches Live Game_x,Dribbels Succes_x,Dribbels Attempted_x,Carries_x,Carries To Distance_x,Carries Proggresive_x,Carries Proggresive Foword_x,Carries Tackeled_x,Reciving Passes_x,Fouls Commited_x,Fouls Drawn_x,Tackele Won_x,looseBallRecovered_x,Aerial Duals Won_x,Aerial Duals Lost_x,Matches Played_y,Minutes / Div By 90_y,Goals_y,Asissts_y,Yellows_y,Reds_y,Total Shots_y,Passes Attemted_y,Passes Total Distance_y,Short Passes_y,Medium Passes_y,Long Passes_y,Cross Passes_y,Head Pases_y,Tackeled_y,Tackeled Dribbels_y,Pressure Applying_y,Blocks_y,Shots Blocks_y,Clearence_y,Touches_y,Touches Defencive Penalty Area_y,Touches Defencive 3RD_y,Touches Mid 3RD_y,Touches Attacking 3RD_y,Touches Attacking Penalty Area_y,Touches Live Game_y,Dribbels Succes_y,Dribbels Attempted_y,Carries_y,Carries To Distance_y,Carries Proggresive_y,Carries Proggresive Foword_y,Carries Tackeled_y,Reciving Passes_y,Fouls Commited_y,Fouls Drawn_y,Tackele Won_y,looseBallRecovered_y,Aerial Duals Won_y,Aerial Duals Lost_y,Position_AMF,Position_DF,Position_DMF,Position_FW,Position_MF,Christmas-played-games,Number of Inj,inj22,inj days 20-21,inj days 19-20,inj days 18-19,Sus days 22,sus days 20-21,sus days 19-20,sus days 18-19,Career Suspension days,Career INJ days,Suspended,Knock,Hamstring,Ankle/Foot Injury,Knee Injury,Thigh Muscle Strain,Groin/Pelvis Injury,Illness,Virus,Calf/Shin Injury,Groin Strain,Back Injury,Hip/Thigh Injury,Calf Muscle Strain,Thigh Muscle Rupture,Shoulder Injury,Head Injury,Foot Injury,ACL Knee Ligament Injury,Ankle Ligaments,MCL Knee Ligament Injury,Concussion,Sprained Ankle,Rib Injury,Toe Injury,Achilles tendonitis,Thumb / Wrist Injury
Aaron Connolly,Brighton,0,0.19999999999999996,0,0.1666666666666667,0.07373271889400922,0.3194444444444444,0.0,0.0,0.0,0.40656565656565646,0.05568862275449102,0.033464440261892124,0.08549783549783549,0.04234088457389428,0.0,0.12630208333333331,0.0,0.0,0.0,0.2841494845360825,0.14285714285714288,0.0,0.0,0.09510918606749684,0.0,0.0,0.06502189090048514,0.13368055555555555,0.1141006477329347,0.10057069648264617,0.0,0.04072504708097929,0.0884748523722256,0.08407734445262038,0.0366326006813197,0.05638297872340427,0.07393162393162393,0.23259259259259257,0.07309941520467837,0.625,0.08333333333333334,0.15326797385620916,0.0,0.2651515151515152,0.2807017543859649,0.16538461538461538,0.2878787878787878,0.12499999999999994,0.0,0.0,0.5227272727272728,0.12770639634986228,0.08008291580308417,0.15403568394222597,0.08315277521666972,0.024799739195230996,0.03156565656565656,0.12727272727272726,0.07954545454545454,0.02272727272727272,0.20129870129870128,0.20454545454545456,0.08271670190274841,0.014758581667295358,0.2351122924381794,0.009178321678321676,0.003615702479338842,0.14934632611064033,0.36572166228091946,0.43181818181818177,0.2288276438680207,0.05289256198347105,0.16167775314116775,0.21294942999123062,0.19276479251407616,0.19323115665161514,0.15972222222222224,0.2479338842975206,0.38636363636363635,0.07954545454545454,0.3622047244094488,0.056818181818181816,0.21467688937568455,0.12323113207547169,0.17045454545454544,0,0,0,1,0,0.00821917808219178,0.01643835616438356,0.14,0.26575342465753427,0.03561643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.07178082191780821,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Lennon,Burnley,1,0.8500000000000001,0,0.29166666666666674,0.05069124423963135,0.0,0.0,0.4967741935483871,0.0,0.26979472140762456,0.10419161676646707,0.05719302997893676,0.12636630231938145,0.05619435372019149,0.05128205128205129,0.48891129032258057,0.0,0.24069478908188582,0.19354838709677427,0.40330894579314935,0.3317972350230415,0.18026565464895636,0.04808277541083385,0.15268002165674066,0.022657450076804916,0.07068109084483537,0.09708337627537875,0.16263440860215053,0.0993779835093302,0.16633980298009512,0.18499248468030985,0.14188080918534718,0.12609612390880248,0.10658216430487312,0.08933627779057322,0.08730267673301306,0.08585607940446649,0.16881720430107525,0.33955857385398985,0.3225806451612903,0.38709677419354843,0.20341555977229603,0.0,0.13196480938416422,0.4390192348340731,0.39804796107506935,0.17565892216323917,0.11721129901598731,0.1803525840210636,0.021160068162372783,0.25925569867659043,0.4020360299245071,0.33742695986505405,0.3456170586854236,0.3539309204406112,0.2571450590157334,0.15698746986206102,0.30994462173076565,0.13067883759815466,0.08925385855273181,0.15889445163590635,0.23743427288590416,0.18086696235742178,0.20765899952138944,0.4594464860199789,0.2089380083082636,0.01708009445171437,0.3515952242255446,0.35375090299599316,0.18635104522185564,0.44360226613838827,0.024498840152015564,0.1893423458306851,0.43760715472313544,0.39135942510754873,0.3621311272978212,0.29120623025186543,0.13187787374761595,0.3459550162955927,0.1324040937502008,0.24713035233724395,0.10635468480755535,0.40970905371302224,0.12050576426134758,0.06573515437347978,0,0,0,0,1,0.0027397260273972603,0.057534246575342465,0.12666666666666668,0.0,0.052054794520547946,0.4794520547945205,0.0,0.0,0.0,0.0,0.0,0.10974124809741248,0.0,0.2727272727272727,0.4545454545454546,0.125,0.1,0.125,0.0,1.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aaron Wan Bissaka,Manchester Utd,1,0.3500000000000001,0,0.6666666666666667,0.7096774193548386,0.0,0.0,0.17701149425287357,0.2816091954022989,0.036050156739811906,0.6490604996902747,0.42848417980093506,0.869987379391768,0.4279975130326654,0.2010020630710286,0.2003412356321839,0.2164456233421751,0.5574712643678161,0.17241379310344834,0.39846249555634555,0.665024630541872,0.385395537525355,0.3426588592496206,0.7031906353266247,0.2744937055281883,0.10519572137592019,0.5563695787888804,0.40696839080459773,0.10623163754445643,0.6790886527386203,0.18790094097268087,0.4044418468731737,0.6656415225496598,0.5420432535755669,0.4822239762101311,0.36551724137931046,0.27533156498673733,0.6270977011494254,0.21173623714458564,0.2298850574712644,0.41379310344827597,0.5979716024340772,0.11890885543143923,0.16457680250783702,0.9298245614035088,1.0,0.04853128991060021,0.1264367816091953,0.1213282247765006,0.0,0.03831417624521072,0.5919422312202485,0.4290402883861004,0.6658860600852221,0.4915677725707801,0.1530172413793103,0.21817794806300553,0.2832183908045977,0.2567049808429119,0.11111111111111112,0.16721401204159822,0.5862068965517242,0.3067807181680478,0.3607653296449977,0.6682870055700723,0.28006189213085764,0.008139927481980593,0.4564858604874216,0.5139623889129529,0.09961685823754789,0.6049007423908802,0.010710353635442791,0.23712737127371267,0.5966847765827696,0.5155819709717545,0.4840851109700447,0.4102308867352817,0.10031347962382443,0.39500091224229156,0.08812260536398468,0.11067366579177604,0.15708812260536398,0.48081983104833126,0.10198438516590759,0.045019157088122604,0,1,0,0,0,0.00821917808219178,0.024657534246575342,0.03333333333333333,0.0273972602739726,0.10684931506849316,0.1178082191780822,0.0,0.0,0.0,0.030136986301369864,0.003767123287671233,0.03321917808219178,0.15384615384615385,0.2727272727272727,0.09090909090909091,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Abdoulaye Doucouré,Everton,0,0.55,0,0.5,0.5253456221198156,0.08582089552238802,0.4701492537313432,0.4597014925373133,0.0,0.32767978290366345,0.4288855125569756,0.3079227973351715,0.461479497436078,0.3201295878444118,0.18092231151932647,0.022621268656716407,0.4629161882893226,0.4454649827784156,0.5373134328358211,0.802969687644253,0.326226012793177,0.041703248463564484,0.18910166150380175,0.48097358362491816,0.1677327647476901,0.07229411937776618,0.4204933797466342,0.2907338308457711,0.19925038484706506,0.5199109275425806,0.11880894037276302,0.24070326334429548,0.44081364709743887,0.3667523310599321,0.294509706820789,0.2171165449349,0.1390355912743972,0.4227674129353234,0.4713275726630009,0.2425373134328358,0.291044776119403,1.0,0.20191297035947026,0.2137042062415197,0.5789473684210527,0.5999999999999999,0.12101910828025471,0.10509554140127382,0.24203821656050956,0.0,0.13375796178343952,0.4723614529048447,0.39185346854654235,0.453276980772665,0.41481053216366714,0.20433721415892242,0.044232130219391375,0.4280254777070064,0.178343949044586,0.10828025477707007,0.24749772520473157,0.2738853503184714,0.20863575766553102,0.11994872743610752,0.5176240336354836,0.15948064674179324,0.009391861738812934,0.4384811758419772,0.30748572879669667,0.12420382165605096,0.5257991787468602,0.00882794433851269,0.12687069545854696,0.46588977410039534,0.4022464267614196,0.3408760561323708,0.21328212813787945,0.13896931094383325,0.36487716105550505,0.1178343949044586,0.10150960429309394,0.1560509554140128,0.6532115724042667,0.116166927052037,0.04140127388535032,0,0,0,0,1,0.0027397260273972603,0.01643835616438356,0.26,0.15616438356164383,0.0,0.07123287671232877,0.0,0.0410958904109589,0.010958904109589041,0.0,0.005707762557077625,0.08150684931506849,0.23076923076923078,0.09090909090909091,0.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Armstrong,Southampton,1,0.3500000000000001,0,0.5833333333333334,0.5253456221198156,0.08582089552238802,0.23507462686567157,0.0,0.0,0.702170963364993,0.18867637858611136,0.11407689365536587,0.19419725457717313,0.1576272589893804,0.06228473019517797,0.21490205223880593,0.1653272101033295,0.1484883275928052,0.0,0.469341437144176,0.11513859275053305,0.041703248463564484,0.03337088144184736,0.26754155589136075,0.010483297796730628,0.01134849548371911,0.17967669639025316,0.3642723880597014,0.46747205675657577,0.27182744558131783,0.13861043043489013,0.3063496078927397,0.2711868270133754,0.2522607711991917,0.20839575745798516,0.27265798666243257,0.3972445464982778,0.47256218905472636,0.23566378633150045,0.14925373134328357,0.13432835820895522,0.27058823529411763,0.09501786840445658,0.2849389416553596,0.4390192348340731,0.39804796107506935,0.17565892216323917,0.11721129901598731,0.1803525840210636,0.021160068162372783,0.25925569867659043,0.4020360299245071,0.33742695986505405,0.3456170586854236,0.3539309204406112,0.2571450590157334,0.15698746986206102,0.30994462173076565,0.13067883759815466,0.08925385855273181,0.15889445163590635,0.23743427288590416,0.18086696235742178,0.20765899952138944,0.4594464860199789,0.2089380083082636,0.01708009445171437,0.3515952242255446,0.35375090299599316,0.18635104522185564,0.44360226613838827,0.024498840152015564,0.1893423458306851,0.43760715472313544,0.39135942510754873,0.3621311272978212,0.29120623025186543,0.13187787374761595,0.3459550162955927,0.1324040937502008,0.24713035233724395,0.10635468480755535,0.40970905371302224,0.12050576426134758,0.06573515437347978,1,0,0,0,0,0.005479452054794521,0.0027397260273972603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00993150684931507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Forshaw,Leeds United,1,0.6499999999999999,0,0.4583333333333334,0.37327188940092165,0.0,0.0,0.30495049504950494,0.0,0.1656165616561656,0.39367996679907513,0.3232916240806071,0.4155610366231428,0.27165240795924256,0.24003554201574007,0.07503094059405939,0.2632140137090632,0.5663874079715664,0.6534653465346537,0.6752066959273249,0.17821782178217827,0.0553290623179965,0.1623388753969737,0.43870981575688706,0.09735973597359739,0.10135891227830049,0.412203840192326,0.1974009900990099,0.0406695378057985,0.4670970241678256,0.052282455968369064,0.13064272528947812,0.4185632979913752,0.3108910891089109,0.17072242713561572,0.12728038761322946,0.2635186595582635,0.41840759075907596,0.5471599791558106,0.297029702970297,0.3267326732673268,0.6555620267909145,0.07878956909775484,0.12151215121512153,0.4390192348340731,0.39804796107506935,0.17565892216323917,0.11721129901598731,0.1803525840210636,0.021160068162372783,0.25925569867659043,0.4020360299245071,0.33742695986505405,0.3456170586854236,0.3539309204406112,0.2571450590157334,0.15698746986206102,0.30994462173076565,0.13067883759815466,0.08925385855273181,0.15889445163590635,0.23743427288590416,0.18086696235742178,0.20765899952138944,0.4594464860199789,0.2089380083082636,0.01708009445171437,0.3515952242255446,0.35375090299599316,0.18635104522185564,0.44360226613838827,0.024498840152015564,0.1893423458306851,0.43760715472313544,0.39135942510754873,0.3621311272978212,0.29120623025186543,0.13187787374761595,0.3459550162955927,0.1324040937502008,0.24713035233724395,0.10635468480755535,0.40970905371302224,0.12050576426134758,0.06573515437347978,0,0,0,0,1,0.0027397260273972603,0.010958904109589041,0.30666666666666664,0.12054794520547946,0.0,0.0,0.0,0.0,0.0,0.0,0.0019569471624266144,0.07162426614481408,0.15384615384615385,0.18181818181818182,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Idah,Norwich City,0,0.1499999999999999,0,0.4583333333333334,0.05069124423963135,0.0,0.0,0.0,0.0,0.6070381231671553,0.19041916167664671,0.1294175614266966,0.21662794683322537,0.12643729587043084,0.0769230769230769,0.19556451612903225,0.07146401985111664,0.48138957816377154,0.19354838709677427,0.3910874625872963,0.08294930875576037,0.18026565464895636,0.0961655508216677,0.26962642122360586,0.09062980030721966,0.06282763630652033,0.15641210622144355,0.38440860215053757,0.3643859395342108,0.28667072428484486,0.3699849693606197,0.14188080918534718,0.2755433818747906,0.24074153196135675,0.11060682012166209,0.17460535346602613,0.6868486352357319,0.4895698924731183,0.2546689303904924,0.3225806451612903,0.29032258064516125,0.25426944971537,0.3080417991821898,0.3519061583577713,0.2807017543859649,0.06923076923076922,1.0,0.28947368421052627,1.0,1.0,0.736842105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23684210526315794,0.1048487360132615,0.10526315789473684,0.0,0.0,0.0,0,0,0,1,0,0.0027397260273972603,0.0027397260273972603,0.0,0.0,0.09315068493150686,0.0,0.0,0.0,0.0,0.0,0.0,0.023287671232876714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Lallana,Brighton,1,0.8,0,0.5,0.4562211981566821,0.0,0.13235294117647053,0.5176470588235293,0.0,0.1932773109243697,0.6036833895234741,0.4182710147907433,0.7877035111565286,0.4190375179197893,0.1770092652445594,0.11462710084033612,0.3723335488041371,0.5434173669467788,0.40336134453781525,0.6654032747119466,0.3889555822328932,0.18783984181908056,0.11273188520691296,0.6406118484210144,0.14755902360944378,0.10339318857398674,0.585899535533063,0.36974789915966383,0.24162490108150877,0.6970033296337402,0.15064849469199432,0.2094430992736078,0.6472384922203455,0.4423000105119311,0.29866343849593596,0.26722689075630257,0.2907563025210084,0.6794537815126049,0.2653693056169837,0.35714285714285715,0.32773109243697485,0.7153732081067721,0.09362054681027342,0.11459129106187932,0.5263157894736841,0.35384615384615387,0.06810035842293899,0.05913978494623649,0.0,0.0,0.25806451612903225,0.5599340175953079,0.4095083754467167,0.5986333031856094,0.4445544068572923,0.19477128503437333,0.1269414575866189,0.38537634408602145,0.17204301075268816,0.10752688172043011,0.26036866359447,0.27956989247311825,0.11740435108777192,0.09775576674251552,0.6120742844493428,0.14330024813895778,0.013874436351023239,0.46769182308892804,0.5698043844658597,0.3763440860215054,0.6155660718678996,0.02219909816163717,0.18358248098610017,0.6337516855098019,0.4945715159228422,0.45261758301680316,0.360056925996205,0.13294232649071358,0.4935995903737839,0.12365591397849462,0.29988993311319956,0.14516129032258066,0.5731312346158829,0.0689034286873605,0.08602150537634408,0,0,0,0,1,0.00821917808219178,0.07123287671232877,0.07333333333333333,0.18356164383561643,0.0,0.39452054794520547,0.0,0.0,0.0,0.0,0.0,0.10475423045930701,0.0,0.6363636363636364,0.0,0.0,0.2,0.375,0.25,0.0,0.0,0.25,1.0,0.0,0.0,0.16666666666666666,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Adam Masina,Watford,0,0.5,1,0.33333333333333337,0.30414746543778803,0.0,0.0,0.0,0.0,0.1215644820295983,0.46104999303718147,0.354041737233208,0.2179923670409928,0.4355062413314841,0.49910554561717363,0.38771802325581395,0.5924865831842577,0.5494931425163986,0.558139534883721,0.47578518340925446,0.35880398671096353,0.12995896032831736,0.5719613865730585,0.5163999445990355,0.3593576965669989,0.16633162239660398,0.38494687569655994,0.24515503875968994,0.011940765460423393,0.455438545170884,0.19229613604951626,0.17047694126921567,0.34510803938003437,0.2152009856768828,0.16983044060049032,0.11801088570014848,0.0928443649373882,0.33468992248062013,0.30599755201958395,0.0872093023255814,0.3488372093023257,0.5499316005471956,0.4256469046839175,0.14270613107822414,0.43859649122807015,0.4192307692307692,0.11515151515151513,0.0,0.23030303030303026,0.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09545454545454546,0.1267716535433071,0.11363636363636365,0.0,0.0,0.0,0,1,0,0,0,0.005479452054794521,0.010958904109589041,0.006666666666666667,0.0,0.03561643835616438,0.0,0.0,0.0,0.0,0.0,0.0,0.024408468244084682,0.0,0.18181818181818182,0.0,0.0,0.1,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adam Webster,Brighton,1,0.44999999999999996,1,0.29166666666666674,0.21658986175115208,0.08582089552238802,0.0,0.4597014925373133,0.0,0.0936227951153324,0.8644204129055322,0.7614738670913568,0.6347953267898993,0.8872627155484712,0.4686184462303866,0.06786380597014924,0.7935706084959818,0.5568312284730194,0.7164179104477614,0.29404523772888136,0.46055437100213226,0.3336259877085162,0.511686848774993,0.8807828750131315,0.38788201847903336,0.4757961810211123,0.716211275888926,0.2702114427860697,0.030653905361086926,0.9301083680131836,0.19801490062127164,0.13129268909688846,0.8319277163358527,0.7862673388026753,0.7263096529114194,0.4746268656716419,0.07944890929965553,0.8455348258706468,0.4320502749410841,0.07462686567164177,0.31343283582089554,0.8470588235294115,0.5225982762245113,0.12211668928086841,0.5263157894736841,0.596153846153846,0.04059829059829053,0.0,0.16239316239316237,0.0,0.1730769230769231,0.6397964015151515,0.6401298341726599,0.3630841121495326,0.6950008451656524,0.5595838587641866,0.013354700854700849,0.8184615384615385,0.09615384615384616,0.08974358974358974,0.097985347985348,0.3269230769230769,0.48993738819320226,0.5120092563038623,0.6845819715399217,0.6083579881656805,0.02262080867850099,0.5019695960940969,0.17251326863560615,0.10576923076923078,0.684271146081375,0.0036817882971728897,0.050161559307900776,0.654876741693462,0.8044204207004517,0.8938461315805881,0.4292986425339368,0.06526806526806526,0.45054945054945056,0.08012820512820513,0.12131536442560067,0.07051282051282053,0.6919987642879208,0.2843795355587808,0.08012820512820513,0,1,0,0,0,0.00821917808219178,0.019178082191780823,0.36666666666666664,0.17534246575342466,0.0821917808219178,0.0,0.0,0.0,0.0,0.0,0.0013698630136986301,0.04082191780821918,0.15384615384615385,0.0,0.0,0.125,0.0,0.125,0.5,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
