age,Matches Played_x,Asissts_x,Passes Attemted_x,Cross Passes_x,Head Pases_x,Tackeled_x,Blocks_x,Shots Blocks_x,Clearence_x,Touches_x,Touches Defencive Penalty Area_x,Touches Defencive 3RD_x,Touches Attacking Penalty Area_x,Touches Live Game_x,Dribbels Succes_x,Carries_x,Carries To Distance_x,Carries Tackeled_x,Tackele Won_x,looseBallRecovered_x,Aerial Duals Won_x,Matches Played_y,Goals_y,Passes Total Distance_y,Medium Passes_y,Long Passes_y,Cross Passes_y,Tackeled_y,Tackeled Dribbels_y,Blocks_y,Shots Blocks_y,Clearence_y,Touches_y,Touches Defencive Penalty Area_y,Touches Mid 3RD_y,Touches Attacking 3RD_y,Touches Live Game_y,Carries_y,Tackele Won_y,looseBallRecovered_y,Aerial Duals Won_y,Position_AMF,Position_FW,Position_MF,Christmas-played-games,Number of Inj,inj22,inj days 20-21,Career Suspension days,Ankle/Foot Injury,Knee Injury,Thigh Muscle Strain,Groin/Pelvis Injury,Illness,Virus,Calf/Shin Injury,Back Injury,Hip/Thigh Injury,Thigh Muscle Rupture,Shoulder Injury,Head Injury,Concussion,Sprained Ankle,Rib Injury
21,6,0.0,5.0,0.8333333333333333,0.0,0.0,0.5555555555555556,0.0,0.0,9.444444444444445,0.0,0.0,1.1111111111111112,9.166666666666666,0.0,6.111111111111111,36.388888888888886,0.2777777777777778,0.2777777777777778,1.9444444444444444,0.0,17.0,0.2272727272727272,130.3409090909091,3.4090909090909087,0.5681818181818181,0.2272727272727272,0.7954545454545454,0.1136363636363636,1.0227272727272727,0.1136363636363636,0.1136363636363636,22.84090909090909,0.1136363636363636,9.545454545454543,13.18181818181818,21.704545454545453,14.09090909090909,0.5681818181818181,3.1818181818181817,1.25,0,1,0,3,6.0,21.0,97.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
34,9,0.0,9.35483870967742,3.225806451612903,0.0,0.9677419354838708,1.2903225806451613,0.3225806451612903,0.3225806451612903,15.161290322580644,0.3225806451612903,0.9365244536940688,0.9677419354838708,15.161290322580644,0.1040582726326743,8.709677419354838,46.12903225806451,0.3225806451612903,1.2903225806451613,2.5806451612903225,0.0,26.02409638554217,0.1386780964446625,549.18750471994,14.510431914945642,5.891398535196147,1.1303097830068394,1.3067883759815464,0.446269292763659,1.1871713644295208,0.248475379596458,1.598907951586417,44.63473734398348,2.586851531435644,22.472171352628425,12.750352428851643,42.07614686053053,28.95655853593513,1.0635468480755534,6.072473474675151,1.2223551207371144,0,0,1,1,21.0,19.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,18,0.0,58.27586206896552,1.3218390804597702,0.9770114942528736,2.241379310344828,2.586206896551724,0.6896551724137931,2.298850574712644,69.82758620689656,3.9080459770114944,1.3938433082309425,1.0344827586206895,61.896551724137936,0.105694279297133,45.97701149425288,234.5977011494253,1.0344827586206895,1.3793103448275863,7.586206896551725,0.7471264367816093,54.0,0.0383141762452107,698.2950191570881,20.15325670498084,3.505747126436781,1.5708812260536398,2.5670498084291187,0.5555555555555556,2.931034482758621,0.421455938697318,2.7777777777777777,64.92337164750957,3.467432950191571,29.176245210727966,18.524904214559385,57.37547892720306,39.48275862068965,1.5708812260536398,7.126436781609195,1.0344827586206895,0,0,0,3,9.0,5.0,10.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
28,14,0.2985074626865671,38.507462686567166,0.1492537313432835,2.08955223880597,1.791044776119403,1.2686567164179103,0.0746268656716417,1.2686567164179103,47.76119402985074,2.388059701492537,0.957897081755402,1.9402985074626864,47.38805970149254,0.0668300289596792,30.44776119402985,158.73134328358208,0.5223880597014925,0.9701492537313432,12.686567164179104,1.2686567164179103,34.0,0.0955414012738853,637.7707006369427,17.006369426751593,4.681528662420383,0.3184713375796179,1.78343949044586,0.5414012738853503,1.3694267515923568,0.286624203821656,0.9235668789808916,50.28662420382166,1.9745222929936304,28.02547770700637,11.0828025477707,49.87261146496815,30.82802547770701,1.5605095541401277,9.681528662420382,1.178343949044586,0,0,1,1,6.0,39.0,57.0,25.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
24,16,0.1492537313432835,16.940298507462686,1.417910447761194,0.7462686567164178,0.5970149253731343,0.4477611940298507,0.0746268656716417,0.2238805970149253,26.56716417910448,0.1492537313432835,0.1503675651592782,4.552238805970149,24.77611940298508,0.0779683671196257,18.73134328358209,109.17910447761194,1.4925373134328357,0.4477611940298507,3.432835820895522,0.5970149253731343,26.02409638554217,0.1386780964446625,549.18750471994,14.510431914945642,5.891398535196147,1.1303097830068394,1.3067883759815464,0.446269292763659,1.1871713644295208,0.248475379596458,1.598907951586417,44.63473734398348,2.586851531435644,22.472171352628425,12.750352428851643,42.07614686053053,28.95655853593513,1.0635468480755534,6.072473474675151,1.2223551207371144,1,0,0,2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,13,0.0,35.34653465346535,0.495049504950495,1.188118811881188,2.277227722772277,0.6930693069306931,0.099009900990099,1.0891089108910892,43.56435643564357,1.3861386138613865,1.3430055876874816,0.396039603960396,42.57425742574257,0.0294088814822076,28.91089108910891,134.55445544554456,0.99009900990099,1.0891089108910892,8.316831683168317,0.495049504950495,26.02409638554217,0.1386780964446625,549.18750471994,14.510431914945642,5.891398535196147,1.1303097830068394,1.3067883759815464,0.446269292763659,1.1871713644295208,0.248475379596458,1.598907951586417,44.63473734398348,2.586851531435644,22.472171352628425,12.750352428851643,42.07614686053053,28.95655853593513,1.0635468480755534,6.072473474675151,1.2223551207371144,0,0,1,1,4.0,46.0,44.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,13,0.0,17.096774193548388,1.2903225806451613,0.3225806451612903,1.935483870967741,0.3225806451612903,0.3225806451612903,0.6451612903225806,26.774193548387096,1.2903225806451613,0.8324661810613944,3.548387096774193,26.12903225806452,0.2081165452653486,19.032258064516128,104.19354838709675,2.5806451612903225,0.9677419354838708,3.225806451612903,1.935483870967741,17.0,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0526315789473684,0.0,0.0,0,1,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,14,0.0840336134453781,54.20168067226891,0.7563025210084033,1.680672268907563,2.184873949579832,1.512605042016807,0.3361344537815126,0.7563025210084033,63.61344537815126,2.100840336134454,1.3699597486053243,2.3529411764705883,63.52941176470588,0.0847397782642468,44.70588235294117,191.42857142857144,1.092436974789916,1.092436974789916,9.07563025210084,0.5882352941176471,31.0,0.053763440860215,666.505376344086,18.2258064516129,4.462365591397849,0.913978494623656,1.7204301075268815,0.5376344086021505,1.3978494623655913,0.1612903225806451,0.7526881720430108,59.46236559139785,1.7741935483870963,29.892473118279568,20.53763440860215,58.38709677419354,41.93548387096774,1.4516129032258065,8.494623655913978,0.6989247311827956,0,0,1,3,26.0,11.0,67.0,0.0,0.0,2.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
27,10,0.0,41.395348837209305,2.558139534883721,2.674418604651163,2.209302325581396,1.3953488372093024,0.2325581395348837,3.8372093023255816,51.27906976744186,5.116279069767442,2.203893996755003,0.1162790697674418,41.51162790697675,0.1081665765278529,23.837209302325583,93.13953488372094,0.3488372093023256,1.162790697674419,6.976744186046512,2.674418604651163,26.0,0.0909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1363636363636365,0.0,0.0,0,0,0,2,4.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,9,0.0,77.61194029850746,0.4477611940298507,3.582089552238806,2.238805970149253,1.791044776119403,0.5970149253731343,3.432835820895522,87.46268656716418,5.522388059701492,6.304299398529738,0.2985074626865671,84.77611940298507,0.1113833815994653,57.46268656716418,340.29850746268653,0.2985074626865671,1.044776119402985,10.746268656716415,3.2835820895522385,31.0,0.032051282051282,1041.8589743589744,28.493589743589745,12.82051282051282,0.0961538461538461,0.9615384615384616,0.4487179487179487,1.6346153846153846,0.6730769230769231,3.942307692307693,66.50641025641026,7.532051282051282,32.083333333333336,6.217948717948718,64.90384615384616,43.333333333333336,0.7051282051282052,10.256410256410255,2.8846153846153846,0,0,0,3,7.0,55.0,64.0,5.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
